timestamp,packets_sent,bytes_sent,elapsed_time,packet_rate,bandwidth,cpu_usage,memory_usage,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv,attack_intensity,src_ip,dest_ip
2024-09-22 18:26:11.654708,0,0,74.97040915489197,0.0,0.0,32.5,44.6,140724964,22857826380,340555,16404493,1.9487171000000014,,192.168.1.100
2024-09-22 18:26:12.656346,0,0,75.97204732894897,0.0,0.0,27.1,44.6,140744390,22857831342,340583,16404515,1.9487171000000014,,192.168.1.100
2024-09-22 18:26:13.657990,0,0,76.97369146347046,0.0,0.0,3.5,44.6,140745697,22857832644,340596,16404527,1.9487171000000014,,192.168.1.100
2024-09-22 18:26:14.659650,0,0,77.97535109519958,0.0,0.0,5.0,44.6,140762371,22857858163,340640,16404571,1.9487171000000014,,192.168.1.100
2024-09-22 18:26:15.661268,0,0,78.97696876525879,0.0,0.0,13.6,44.3,140763711,22857859216,340650,16404579,1.9487171000000014,,192.168.1.100
2024-09-22 18:26:16.662926,0,0,79.9786274433136,0.0,0.0,9.6,44.1,140772383,22857867777,340676,16404604,1.9487171000000014,,192.168.1.100
2024-09-22 18:26:17.664576,0,0,80.9802770614624,0.0,0.0,3.5,44.1,140773141,22857868302,340680,16404606,1.9487171000000014,,192.168.1.100
2024-09-22 18:26:18.669024,0,0,81.98472499847412,0.0,0.0,1.0,44.1,140792735,22857873498,340711,16404632,2.0,,192.168.1.100
2024-09-22 18:26:19.670743,0,0,82.98644423484802,0.0,0.0,5.5,44.1,140793493,22857874089,340715,16404635,2.0,,192.168.1.100
2024-09-22 18:26:20.672345,0,0,83.98804640769958,0.0,0.0,8.5,44.1,140812021,22857883359,340768,16404685,2.0,,192.168.1.100
2024-09-22 18:26:21.673984,0,0,84.98968458175659,0.0,0.0,8.0,44.1,140822050,22857894337,340827,16404741,2.0,,192.168.1.100
2024-09-22 18:26:22.675601,0,0,85.99130201339722,0.0,0.0,0.5,44.1,140829389,22857902607,340869,16404782,2.0,,192.168.1.100
2024-09-22 18:26:23.677235,0,0,86.99293565750122,0.0,0.0,3.0,44.1,140830498,22857903711,340879,16404791,2.0,,192.168.1.100
2024-09-22 18:26:24.678908,0,0,87.99460887908936,0.0,0.0,4.5,44.1,140852114,22857910793,340922,16404827,2.0,,192.168.1.100
2024-09-22 18:26:25.680539,0,0,88.99623966217041,0.0,0.0,6.6,44.1,140860862,22857922887,340988,16404883,2.0,,192.168.1.100
2024-09-22 18:26:26.682129,0,0,89.9978301525116,0.0,0.0,17.6,44.3,140874297,22857938229,341069,16404963,2.0,,192.168.1.100
